"MatchURL","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Href","Player_Num","Nation","First_pos_fbref","Other_pos_fbref","Age","Min","Competition_Name","Gender","Country","Tier","Season_End_Year","ws_rating","ws_position","outcome"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","thomas partey","/en/players/529f49ab/Thomas-Partey",5,"GHA","CM",NA,"29-053",90,"Premier League","M","ENG","1st",2023,7.36,"MC","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","martin odegaard","/en/players/79300479/Martin-Odegaard",8,"NOR","RM",NA,"23-231",89,"Premier League","M","ENG","1st",2023,6.86,"MC","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","albert sambi lokonga","/en/players/1b4f1169/Albert-Sambi-Lokonga",23,"BEL","CM","RW","22-287",1,"Premier League","M","ENG","1st",2023,6.08,"Sub","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","oleksandr zinchenko","/en/players/51cf8561/Oleksandr-Zinchenko",35,"UKR","LB",NA,"25-233",82,"Premier League","M","ENG","1st",2023,8.08,"DL","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","kieran tierney","/en/players/fce2302c/Kieran-Tierney",3,"SCO","LB",NA,"25-061",8,"Premier League","M","ENG","1st",2023,6.38,"Sub","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","gabriel dos santos","/en/players/67ac5bb8/Gabriel-Dos-Santos",6,"BRA","CB",NA,"24-229",90,"Premier League","M","ENG","1st",2023,7.19,"DC","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","william saliba","/en/players/972aeb2a/William-Saliba",12,"FRA","CB",NA,"21-134",90,"Premier League","M","ENG","1st",2023,7.25,"DC","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","ben white","/en/players/35e413f1/Ben-White",4,"ENG","RB",NA,"24-301",90,"Premier League","M","ENG","1st",2023,7.71,"DR","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","aaron ramsdale","/en/players/466fb2c5/Aaron-Ramsdale",1,"ENG","GK",NA,"24-083",90,"Premier League","M","ENG","1st",2023,7.18,"GK","win"
"https://fbref.com/en/matches/6713c1dc/Fulham-Liverpool-August-6-2022-Premier-League","Premier League","06/08/2022","Premier League (Matchweek 1)","fulham","4-2-3-1",2,1.2,"Aleksandar Mitrović · 32&rsquor; Aleksandar Mitrović (P) · 72&rsquor;",2,0,"liverpool","04/03/2003",2,1.2,"Darwin Núñez · 64&rsquor; Mohamed Salah · 80&rsquor;",0,0,"https://fbref.com/en/matches/6713c1dc/Fulham-Liverpool-August-6-2022-Premier-League","fulham","Home","aleksandar mitrovic","/en/players/3925dbd6/Aleksandar-Mitrovic",9,"SRB","FW",NA,"27-324",90,"Premier League","M","ENG","1st",2023,9.61,"FW","draw"
